OBJECT,Catalogue,off_u_gaia,dmag_u,off_u
KIDS_160.4_-2.5,KIDS_160p4_m2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.0776807380656181,0.0715139772014015,0.1491947152670196
KIDS_348.0_-34.1,KIDS_348p0_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.037096610822356435,0.1167032487158248,0.07960663789346836
KIDS_224.0_-0.5,KIDS_224p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.06699180216931896,0.0251823374622089,0.09217413963152786
KIDS_185.0_1.5,KIDS_185p0_1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.03360003162570892,0.0132836342522716,-0.020316397373437316
KIDS_29.4_-32.1,KIDS_29p4_m32p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.03979174782281683,0.0332758182177277,0.07306756604054454
KIDS_19.4_-29.2,KIDS_19p4_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.08639155563150727,0.0325183463231312,0.11890990195463846
KIDS_214.6_2.5,KIDS_214p6_2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.036558660659533795,0.0929634597890869,0.05640479912955311
KIDS_2.3_-28.2,KIDS_2p3_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.03937473381093673,0.0274347908792397,0.06680952469017643
KIDS_343.2_-34.1,KIDS_343p2_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.09934934462628,0.0532437759413697,0.1525931205676497
KIDS_346.9_-33.1,KIDS_346p9_m33p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.017808798481657118,0.047368548319409,0.029559749837751885
KIDS_45.6_-34.1,KIDS_45p6_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.015841659120812618,0.122373534178357,0.10653187505754438
KIDS_180.5_3.5,KIDS_180p5_3p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.04229713348931278,0.1290510448522212,0.08675391136290841
KIDS_42.8_-33.1,KIDS_42p8_m33p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.025180188742044446,0.1727404630863044,0.14756027434425995
KIDS_201.6_-2.5,KIDS_201p6_m2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.06989589807988393,0.1608914548065095,0.09099555672662556
KIDS_339.0_-31.2,KIDS_339p0_m31p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.08817162891910241,0.0957384771746774,0.007566848255574993
KIDS_47.8_-31.2,KIDS_47p8_m31p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.012386918668025187,0.1779148086020281,0.16552788993400291
KIDS_356.6_-27.2,KIDS_356p6_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.07763879018962627,-0.0046438752544869,0.07299491493513938
KIDS_52.4_-29.2,KIDS_52p4_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.022146493108974707,0.156379375719679,0.1785258688286537
KIDS_22.6_-28.2,KIDS_22p6_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.09832974445053497,0.0957484915090099,0.19407823595954488
KIDS_32.1_-33.1,KIDS_32p1_m33p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.031901941154355434,0.0360593107300759,0.06796125188443133
KIDS_1.1_-29.2,KIDS_1p1_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.028771774608411904,0.0837647913635649,0.11253656597197681
KIDS_7.3_-35.1,KIDS_7p3_m35p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.11094308916851262,-0.0012576130195936,0.10968547614891902
KIDS_207.0_-0.5,KIDS_207p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.01595936378599816,0.0662516763563242,0.08221104014232236
KIDS_330.7_-28.2,KIDS_330p7_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.05802719733431927,-0.0394067075479035,0.01862048978641577
KIDS_197.0_1.5,KIDS_197p0_1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.09839407004334498,0.0743164754297357,-0.024077594613609282
KIDS_136.0_-0.5,KIDS_136p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.05529289772004111,0.106810731613445,0.051517833893403885
KIDS_216.0_-0.5,KIDS_216p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.06980384939337939,0.1332190534657196,0.06341520407234022
KIDS_33.6_-27.2,KIDS_33p6_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.10323270338164517,-0.0565292157535449,0.04670348762810027
KIDS_135.4_2.5,KIDS_135p4_2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.05238894986478157,-0.0287801367110759,0.02360881315370567
KIDS_174.5_3.5,KIDS_174p5_3p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.08027600377791413,0.0143543739112818,0.09463037768919594
KIDS_7.9_-27.2,KIDS_7p9_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.13416917324309816,0.0753270859258447,0.20949625916894285
KIDS_193.0_-1.5,KIDS_193p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.01578648472168359,0.0575779225689611,0.0733644072906447
KIDS_180.0_-0.5,KIDS_180p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.055890676274810036,0.0133587640249286,-0.04253191224988144
KIDS_213.6_3.5,KIDS_213p6_3p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.04621628307947182,0.1666156232021954,0.12039934012272357
KIDS_228.6_2.5,KIDS_228p6_2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.04615993867213683,0.0015633286205431,0.04772326729267993
KIDS_4.5_-28.2,KIDS_4p5_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.045635254334402575,0.1517763617420115,0.10614110740760893
KIDS_236.0_1.5,KIDS_236p0_1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.08210336597223397,-0.0096578581806931,0.07244550779154087
KIDS_191.0_1.5,KIDS_191p0_1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.2061976163986957,-0.1048879672878068,0.10130964911088888
KIDS_47.4_-28.2,KIDS_47p4_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.048755292822335844,0.2031214857558239,0.15436619293348805
KIDS_169.5_3.5,KIDS_169p5_3p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.023155771332358938,0.1479418637975823,0.17109763512994125
KIDS_167.0_-1.5,KIDS_167p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.06557850248661748,0.047008764149118,0.11258726663573548
KIDS_207.0_1.5,KIDS_207p0_1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.21148573103044585,-0.1452876264134967,0.06619810461694914
KIDS_347.3_-30.2,KIDS_347p3_m30p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.09831346571161316,0.1606606687376495,0.062347203026036344
KIDS_179.0_-1.5,KIDS_179p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.05979499912593174,0.06177431122007,0.0019793120941382636
KIDS_137.0_-0.5,KIDS_137p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.059490196629615716,-0.0445384416654962,0.014951754964119518
KIDS_344.7_-32.1,KIDS_344p7_m32p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.040437770894912656,0.1186598527002091,0.07822208180529644
KIDS_41.0_-29.2,KIDS_41p0_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.16746972562350979,-0.1097823150558801,0.05768741056762969
KIDS_16.8_-27.2,KIDS_16p8_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.07556334640804413,-0.049237660458316,0.02632568594972813
KIDS_333.8_-29.2,KIDS_333p8_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.059336539187753085,0.0352039439475254,0.09454048313527849
KIDS_187.5_3.5,KIDS_187p5_3p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.14447980786868805,-0.0952829306993113,0.04919687716937675
KIDS_21.0_-31.2,KIDS_21p0_m31p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.06452458080216268,0.2211695537906304,0.15664497298846775
KIDS_48.0_-34.1,KIDS_48p0_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.02083290076553751,0.1614970755281554,0.1823299762936929
KIDS_224.6_3.5,KIDS_224p6_3p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.16636566989712212,-0.0471068486297805,0.11925882126734162
KIDS_35.0_-31.2,KIDS_35p0_m31p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.04489414306871961,0.1777595236686764,0.222653666737396
KIDS_213.0_-1.5,KIDS_213p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.0816285222775757,0.0360971166744622,0.11772563895203789
KIDS_355.4_-29.2,KIDS_355p4_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.016754653887683185,0.0722014140664926,0.05544676017880941
KIDS_346.6_-35.1,KIDS_346p6_m35p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.10018290982702568,-0.0502719988074423,0.049910911019583386
