OBJECT,Catalogue,u_kids,u_gaia,u_kids_10,u_gaia_10,g_kids,g_gaia,g_kids_10,g_gaia_10,r_kids,r_gaia,r_kids_10,r_gaia_10,i_kids,i_gaia,i_kids_10,i_gaia_10,i2_kids,i2_gaia,i2_kids_10,i2_gaia_10,Ebv,b,Survey,FLAG
KIDS_233.0_0.5,KIDS_233p0_0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.0682073127683775,-0.119646185293628,-0.0666021888199093,-0.119856185293628,0.0689351173703418,0.063975,0.0706218045825535,0.065791,0.0370786695326957,0.039748,0.0383340450579613,0.04128,0.0193068358635038,0.017835,0.0207757281100303,0.02005,0.0217078147542434,0.018659,0.023031168765153,0.021778,0.052872,43.1766,KiDS,0
KIDS_345.0_-30.2,KIDS_345p0_m30p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.090849600930998,0.1045850104253323,0.1076848250260004,0.1047380104253323,-0.0001287316255239,0.020515,0.0029419216745789,0.02223,0.0387445415845833,0.047684,0.0415430537342832,0.049525,0.0523627786162114,0.039322,0.0556299664261657,0.042787,0.0674815256384925,0.056539,0.0714056704511187,0.06046,0.018938,-65.4701,KiDS,0
KIDS_215.0_0.5,KIDS_215p0_0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.095082471691913,0.0212443520009583,0.0922646405356844,0.0221203520009583,0.0392668274162058,0.03029,0.0408477463246153,0.033247,0.0413332622791329,0.051173,0.0446245900039544,0.054305,0.004890877842379,0.008025,0.0105949815216308,0.011483,0.0153185071155339,0.018318,0.0192794794595776,0.021135,0.031351,55.9376,KiDS,0
KIDS_176.5_-2.5,KIDS_176p5_m2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.021114385375654,-0.0653154157054866,0.0238525209800413,-0.0652674157054866,0.019114165403962,0.023014,0.0215188175453963,0.024869,0.0047010547977267,0.017427,0.0091786333970636,0.021647,0.0650305802418583,0.059456,0.0697410770629433,0.064749,0.0610198383413335,0.060766,0.0677295898486586,0.06471,0.018348,56.454,KiDS,0
KIDS_352.0_-29.2,KIDS_352p0_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.072414441400203,0.0163375954725423,0.0868349637084773,0.0164185954725423,0.0343141500011223,0.031998,0.0384826139574169,0.037746,0.0204065407386964,0.028386,0.0229903810695338,0.030404,0.0504142377078285,0.048164,0.0526760832221623,0.05211,0.1222795749991527,0.121154,0.1250189160183607,0.12377,0.021458,-71.5247,KiDS,0
KIDS_135.0_-0.5,KIDS_135p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.1741789429948826,0.1484930815198051,0.1746709540637016,0.1482240815198051,0.0257180742825268,0.017071,0.0282402982341392,0.019388,0.0453661095936524,0.053255,0.0481466484414344,0.055763,0.0525488714890137,0.05929,0.0562711042671987,0.061833,0.0295565865998028,0.03117,0.0328652809381685,0.033851,0.027866,27.9849,KiDS,0
KIDS_38.4_-28.2,KIDS_38p4_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0744392354741967,-0.158144592050224,0.1097941532178311,-0.154901592050224,0.0144418973482043,0.036588,0.0227831758023008,0.040142,0.0462081386565214,0.057535,0.0498184775827313,0.061347,0.0747190559330124,0.051503,0.076691174171297,0.053851,0.0497359049704832,0.030252,0.0544382165527483,0.035253,0.012878,-67.4153,KiDS,0
KIDS_354.4_-27.2,KIDS_354p4_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0151910252795327,-0.1150367161326036,0.0219481818305076,-0.1139877161326036,0.1030271803643665,0.107889,0.1035502003515748,0.110122,0.0309680292261256,0.041091,0.0347385328296679,0.045139,0.0489143833682654,0.052559,0.053153982861767,0.054807,0.0475466349282006,0.051135,0.0536357269317585,0.052969,0.015783,-73.5961,KiDS,0
KIDS_329.4_-32.1,KIDS_329p4_m32p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.1099744042035999,0.018228270252589,0.1171084488508542,0.019087270252589,0.07537683178453,0.066968,0.0780109228509242,0.068809,0.0136232984360256,0.023257,0.0152221065634639,0.025481,0.0553073412993993,0.055375,0.0568848698387486,0.059411,0.0411003152575162,0.044551,0.0432027266427585,0.046946,0.024997,-52.1637,KiDS,0
KIDS_29.2_-27.2,KIDS_29p2_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.2206265530794061,0.021090430588027,0.222407039637142,0.021603430588027,-0.0774686688511677,-0.074037,-0.0747505696668343,-0.0698,0.0158318173668009,0.030035,0.0184258174887444,0.032192,0.0357168780565436,0.03388,0.0383940250205022,0.037816,0.0333697222846376,0.028034,0.0342435751138554,0.030378,0.011482,-75.5177,KiDS,0
KIDS_14.4_-34.1,KIDS_14p4_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.1557413123167141,0.0844194048480591,0.1732091400344383,0.0848234048480591,0.008749548669951,0.034611,0.0126285781994465,0.037083,0.0177699149609594,0.034318,0.0192435134795193,0.035955,0.0510738568618161,0.032255,0.0534249823264011,0.033892,0.0968329900818281,0.084431,0.0987546503059025,0.086413,0.015307,-83.1222,KiDS,0
KIDS_337.6_-27.2,KIDS_337p6_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0705874177550971,0.0561330466366683,0.140732837804898,0.0566160466366683,-0.074786212704085,-0.050039,-0.0698915136395932,-0.048364,-0.0817193204443875,-0.068649,-0.0802019365585144,-0.066594,0.0760282137202307,0.072309,0.0812886330555674,0.074107,0.042512904271969,0.039969,0.0447918317885785,0.04188,0.015903,-58.7197,KiDS,0
KIDS_34.1_-35.1,KIDS_34p1_m35p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.0700976819322649,-0.370363663960889,-0.0671608767408925,-0.369667663960889,0.008685672702426,0.00776,0.0116340099722673,0.011531,-0.113320653241883,-0.103522,-0.1106083739711531,-0.098908,0.0839452772722553,0.06858,0.0872778777798037,0.072729,-0.0741635112603645,-0.082515,-0.0683004851695332,-0.079312,0.013337,-70.2233,KiDS,0
KIDS_50.6_-30.2,KIDS_50p6_m30p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.2446301822775926,0.1501353476361787,0.2454438447254598,0.1582853476361786,0.009988362663852,0.015215,0.0079344975618012,0.015832,0.0526979155852172,0.06501,0.0547170599471554,0.065968,0.0388955599555596,0.039181,0.0446567550330092,0.041732,-0.0558067934969353,-0.059826,-0.0507076533156468,-0.056862,0.011506,-56.8829,KiDS,0
KIDS_21.9_-35.1,KIDS_21p9_m35p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0646246743432507,-0.1109726869696203,0.0819774344042171,-0.1103526869696203,0.0419631530641668,0.051639,0.0454285502573086,0.056197,-0.0947880299560081,-0.08227,-0.0912605832316714,-0.078816,0.0535527304273807,0.053324,0.0593635484439873,0.056291,-0.0533606525845709,-0.059222,-0.0502215177473006,-0.056955,0.017517,-78.8875,KiDS,0
KIDS_220.0_0.5,KIDS_220p0_0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0435003230827077,-0.0249092526884172,0.0452470261996787,-0.0239072526884172,0.0794490249696528,0.065796,0.0822716310694642,0.068139,0.0237608332954351,0.025831,0.0261143584284427,0.028313,0.0587880091800657,0.057303,0.061822995584742,0.060642,0.0278552850838403,0.026126,0.0314269605517093,0.029753,0.039065,52.7453,KiDS,0
KIDS_133.0_-0.5,KIDS_133p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0349521617969304,0.0670174697928596,0.0320625955488603,0.0671544697928596,0.0355545582467946,0.048278,0.0353042400910741,0.049894,0.0430361636093157,0.053913,0.0444837769186255,0.055844,0.0731705556524797,0.068932,0.0759098387794032,0.071006,0.0672814547689677,0.062773,0.0702368569135418,0.065343,0.024099,26.2776,KiDS,0
KIDS_340.6_-29.2,KIDS_340p6_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.1250784515173722,0.0497035955735052,0.1337666229658619,0.0497575955735052,-0.0068773152485669,-0.015293,-0.0036640471252997,-0.014568,-0.0518548783539113,-0.043481,-0.0497483863696621,-0.042006,0.0433959643615504,0.04584,0.0449021035459552,0.048325,0.038878051160649,0.041433,0.0418118044038249,0.043951,0.014665,-61.5958,KiDS,0
KIDS_331.2_-30.2,KIDS_331p2_m30p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0070934053171863,-0.010926330913946,0.0281097809941256,-0.010549330913946,0.0083380697546488,0.012056,0.0145272060925207,0.013653,-0.0292552619128074,-0.025222,-0.0271981522365076,-0.022704,0.040573371119204,0.034366,0.0420365985255262,0.036295,0.0777729315069246,0.070943,0.0795025862252666,0.072904,0.018317,-53.5714,KiDS,0
KIDS_161.4_3.5,KIDS_161p4_3p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.205990529015998,-0.0068138064652822,0.2116111988082299,-0.0057148064652822,-0.0742678360338842,-0.093406,-0.0672855366294771,-0.089382,0.0031732648245098,0.013159,0.0078826629231963,0.018478,0.1598868687248935,0.165335,0.164043919035482,0.16904,-0.0882523412248834,-0.084128,-0.0847063557840464,-0.080719,0.03703,51.7775,KiDS,0
KIDS_343.0_-35.1,KIDS_343p0_m35p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0336642590023694,-0.0208720550985414,0.0381477669293592,-0.0200670550985414,-0.1220513886717703,-0.115503,-0.1214522956308386,-0.113797,0.0503848466400805,0.059541,0.0524218701213077,0.061193,0.0624812068392907,0.060046,0.0668021167128216,0.063192,0.046113059916378,0.041604,0.0480650438516503,0.042931,0.011598,-63.3076,KiDS,0
KIDS_238.0_0.5,KIDS_238p0_0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.107734492147419,0.0104810125131954,0.1063868971827077,0.0115410125131954,0.0626503088196819,0.046194,0.0631966797850333,0.047601,0.0162607789561382,0.020182,0.0182970144704924,0.021732,0.0355698445240905,0.0419,0.0378823328967522,0.044583,0.0650289823636881,0.073678,0.0680718342504942,0.075944,0.075077,39.1762,KiDS,0
KIDS_129.0_-0.5,KIDS_129p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0700994595299226,0.0584184466576251,0.0673505358262265,0.0586824466576251,0.0600381548146265,0.047915,0.0599187108052322,0.04955,0.02320762771001,0.031797,0.0247726261371253,0.033169,0.0261820905771096,0.032797,0.0284230854992351,0.03481,0.0399563904682275,0.046264,0.0424540435880948,0.048244,0.035057,22.8408,KiDS,0
KIDS_197.5_-2.5,KIDS_197p5_m2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.056826419022357,-0.1146734815146116,-0.0547099769537752,-0.1119964815146116,-0.1173279074873827,-0.129919,-0.1162626281605241,-0.127009,0.0090803902550589,0.011579,0.0119950153920914,0.014404,0.0354365492347206,0.032824,0.0388692379936123,0.035352,0.0352679594813108,0.032819,0.0379688030243871,0.034652,0.024932,60.0621,KiDS,0
KIDS_164.0_-1.5,KIDS_164p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.0884599837302312,-0.2213303362349606,-0.0762008999634255,-0.2197883362349606,0.0858975685831021,0.065875,0.0896385711170778,0.068386,-0.0323861200174299,-0.029971,-0.0301262128150158,-0.02735,0.0326773468281901,0.035044,0.0339460299597464,0.038317,0.0196248196035074,0.025458,0.0228624434308809,0.027864,0.039138,50.1171,KiDS,0
KIDS_348.8_-27.2,KIDS_348p8_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.0008821519788423,-0.1235064387139019,0.0168434241806321,-0.1235064387139019,0.0484456676888208,0.042291,0.0520518217551911,0.045423,0.0115048677760483,0.017958,0.0151609312479448,0.021191,0.0298188905768084,0.034915,0.0328662119222556,0.038329,-0.0724885486536267,-0.059592,-0.0673856619442726,-0.057362,0.027415,-68.5966,KiDS,0
KIDS_210.6_3.5,KIDS_210p6_3p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.0426872761569013,-0.1085073459561619,-0.0436595875171089,-0.1075403459561619,-0.0671929232712729,-0.065972,-0.0639233666671812,-0.061785,-0.0073637725007968,0.006054,-0.0027217072447344,0.009262,0.0609605380282221,0.064582,0.066863572185378,0.068199,0.0501012375838156,0.050115,0.0534956496996763,0.053128,0.024969,60.8934,KiDS,0
KIDS_39.6_-34.1,KIDS_39p6_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0708942261204436,0.0001445651342063,0.093866599995937,0.0010895651342063,-0.003017845152073,0.027842,-0.0018179389835147,0.030001,0.0178549939487227,0.035249,0.0196538129835955,0.037484,0.1143597117148453,0.100574,0.1163709959471869,0.101974,0.041753813479373,0.043775,0.0438999194378958,0.046626,0.021099,-65.7053,KiDS,0
KIDS_13.7_-29.2,KIDS_13p7_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.0454459706837707,-0.1022205200036301,-0.0510040233601873,-0.1015525200036301,-0.0461732747073887,-0.02612,-0.0478701949618475,-0.023073,0.0445417046666994,0.054216,0.0478991233989086,0.056265,0.0491807914026773,0.03629,0.0556431503971706,0.040545,0.0489506278057528,0.040013,0.0547716818366408,0.042942,0.014821,-87.7945,KiDS,0
KIDS_233.6_2.5,KIDS_233p6_2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.012616684165837,-0.1057213526226933,-0.007830452693507,-0.1045883526226933,-0.8489729900500396,-0.863573,-0.8468428379503858,-0.86271,-0.1783249089193818,-0.16998,-0.1772799221861531,-0.167939,0.0089792296389102,0.053693,0.0121037146348942,0.056007,0.047734191330918,0.072663,0.0509420029663043,0.074854,0.041178,43.8579,KiDS,0
KIDS_189.0_-1.5,KIDS_189p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.1208729025129065,-0.1891640298648019,-0.1126341654949922,-0.1878600298648019,-0.0686553048291709,-0.071341,-0.0651052231440773,-0.068765,0.0021390772256989,0.009868,0.0069109276690456,0.014134,0.058391089401321,0.057865,0.0641701344942767,0.06165,0.0123875147411333,0.00995,0.0189472360092286,0.011657,0.021771,61.1261,KiDS,0
KIDS_15.7_-27.2,KIDS_15p7_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0421458371298816,0.0552091925783044,0.0516214829138835,0.0555611925783044,-0.1207822846910923,-0.085449,-0.1180647861304212,-0.081685,-0.0101325445178387,0.001515,-0.0071877558265955,0.004819,0.0544919314225924,0.042147,0.058792195653299,0.04661,-0.0578052097946685,-0.067016,-0.0531936261345825,-0.062362,0.01543,-87.4581,KiDS,0
KIDS_358.9_-27.2,KIDS_358p9_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0086703415711021,-0.0953787814720703,0.0111810310358801,-0.0893767814720702,-0.0430318016439182,-0.04659,-0.040836529398443,-0.045275,-0.1087109795176294,-0.094188,-0.1050629389004859,-0.090827,0.0447680119287668,0.052924,0.0493866633769691,0.05702,-0.0943759423630153,-0.082873,-0.091226511463575,-0.080781,0.016042,-77.5364,KiDS,0
KIDS_168.0_1.5,KIDS_168p0_1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.1184814527025378,-0.0539686856452658,0.128860046142764,-0.0529186856452658,0.0550700099486235,0.030644,0.059483148963623,0.032814,-0.0749831959596484,-0.069526,-0.0718666925089971,-0.066031,-0.0447498501042481,-0.031281,-0.0415082470188234,-0.028221,-0.0028949054901948,0.015507,0.0019677813736033,0.019288,0.031381,54.9769,KiDS,0
KIDS_335.2_-28.2,KIDS_335p2_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0464813809651937,0.0681429803114035,0.0496663263849725,0.0683169803114035,0.0428765476218005,0.055853,0.0449750096726491,0.056499,0.0131358539076101,0.026648,0.0151142636046253,0.028355,0.026169784944659,0.022121,0.0283969307294755,0.02435,0.0453918600024642,0.041052,0.0477347382497506,0.044603,0.015377,-56.7418,KiDS,0
KIDS_19.2_-34.1,KIDS_19p2_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.1271853411094349,-0.0650991286494366,0.1158160248781836,-0.0618681286494366,0.0458854368927564,0.052844,0.0474729195096114,0.057079,0.0274296644388978,0.038585,0.0304510307874924,0.041195,0.0111325227103229,0.001789,0.0159065413952285,0.005249,-0.0749993052378079,-0.076636,-0.0678699650417355,-0.073981,0.021711,-81.1302,KiDS,0
KIDS_2.4_-35.1,KIDS_2p4_m35p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.014391154073872,-0.0516682377770714,0.0180133407985007,-0.0514842377770714,-0.0660034018900127,-0.063528,-0.06498541890932,-0.060728,0.0411560521535361,0.053708,0.0433873732496566,0.054366,0.0211972911932211,0.021555,0.0242244083163695,0.024738,0.0588428362085559,0.059668,0.0608129725461913,0.062703,0.010656,-78.0083,KiDS,0
KIDS_336.0_-34.1,KIDS_336p0_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.1146901881831652,-0.1780144800327268,-0.109976110773716,-0.1774874800327268,0.017850697746454,0.024988,0.0213807691300478,0.026913,0.0190764289068351,0.032197,0.0219964589755848,0.034897,0.042040386607176,0.045707,0.0439467893662961,0.046364,-0.0087481318726462,-0.005041,-0.004906656223112,-0.002827,0.011899,-57.6994,KiDS,0
