OBJECT,Catalogue,Survey,off_u_gaia_0p7,off_u_gaia_1p0,dmag_u_0p7,dmag_u_1p0,off_u_0p7,off_u_1p0
KIDS_164.0_-1.5,KIDS_164p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.22133033623496065,-0.21978833623496066,-0.0884599837302312,-0.0762008999634255,0.13287035250472945,0.14358743627153517
KIDS_348.8_-27.2,KIDS_348p8_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.1235064387139019,-0.1235064387139019,-0.0008821519788423,0.0168434241806321,0.12262428673505961,0.140349862894534
KIDS_210.6_3.5,KIDS_210p6_3p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.10850734595616196,-0.10754034595616194,-0.0426872761569013,-0.0436595875171089,0.06582006979926067,0.06388075843905304
KIDS_39.6_-34.1,KIDS_39p6_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.00014456513420635364,0.001089565134206355,0.0708942261204436,0.093866599995937,0.07074966098623725,0.09277703486173064
KIDS_13.7_-29.2,KIDS_13p7_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.10222052000363013,-0.10155252000363013,-0.0454459706837707,-0.0510040233601873,0.05677454931985943,0.05054849664344283
KIDS_233.6_2.5,KIDS_233p6_2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.10572135262269333,-0.10458835262269334,-0.012616684165837,-0.007830452693507,0.09310466845685633,0.09675789992918633
KIDS_189.0_-1.5,KIDS_189p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.18916402986480194,-0.18786002986480196,-0.1208729025129065,-0.1126341654949922,0.06829112735189544,0.07522586436980977
KIDS_15.7_-27.2,KIDS_15p7_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.05520919257830447,0.055561192578304476,0.0421458371298816,0.0516214829138835,-0.013063355448422874,-0.003939709664420976
KIDS_358.9_-27.2,KIDS_358p9_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.0953787814720703,-0.08937678147207029,0.0086703415711021,0.0111810310358801,0.10404912304317239,0.10055781250795039
KIDS_168.0_1.5,KIDS_168p0_1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.05396868564526583,-0.052918685645265834,0.1184814527025378,0.128860046142764,0.17245013834780365,0.18177873178802983
